prev	curr	type	n
Mathematics	Main_Page	other	52
History	Music	link	53
World_War_II	English_language	link	55
English_language	Geography	link	52
English_language	World_War_II	link	63
World_War_II	United_States	other	57
History	History	link	45
other-external	Literature	other	61
other-internal	Wikipedia	link	56
Mathematics	World_War_II	other	53
Philosophy	World_War_II	link	47
World_War_II	United_States	other	49
other-external	Music	link	42
United_States	Geography	link	51
History	Technology	link	54
History	Religion	other	42
Philosophy	United_States	other	55
Technology	Philosophy	link	51
Chemistry	Earth	external	47
Wikipedia	Chemistry	other	56
other-internal	Science	link	58
Science	World_War_II	external	46
Biology	Biology	other	47
Religion	Technology	external	60
Earth	Science	external	60
Physics	Biology	link	45
Art	Main_Page	other	44
Literature	Chemistry	other	53
Biology	Music	link	42
Chemistry	English_language	external	46
Chemistry	English_language	other	44
Physics	World_War_II	other	47
Art	Philosophy	link	42
Main_Page	Geography	link	64
Physics	History	external	40
other-internal	Science	link	48
World_War_II	World_War_II	external	48
Chemistry	Mathematics	link	55
World_War_II	Science	other	55
English_language	Religion	external	46
Religion	World_War_II	external	46
Chemistry	English_language	external	43
Music	Music	link	42
other-search	World_War_II	external	57
History	Earth	other	56
other-empty	Science	other	61
Art	Literature	external	52
Art	Mathematics	other	54
Sports	Mathematics	link	38
Biology	Physics	external	60
Wikipedia	History	other	37
Art	Earth	link	50
Sports	History	link	54
United_States	Physics	link	40
Literature	Art	link	51
Art	Music	link	45
Sports	Technology	link	47
Philosophy	Wikipedia	external	49
Biology	Wikipedia	other	46
United_States	Philosophy	external	46
History	Religion	external	58
Earth	United_States	other	56
History	Wikipedia	external	47
Chemistry	Earth	external	52
History	Biology	link	56
Wikipedia	Main_Page	other	56
Physics	Literature	external	48
Earth	World_War_II	other	52
Chemistry	Sports	link	54
Mathematics	History	external	51
Geography	Religion	other	46
History	Art	other	42
Wikipedia	Main_Page	link	48
Literature	Biology	other	44
Philosophy	Mathematics	link	51
other-empty	Wikipedia	external	54
English_language	Chemistry	external	44
History	Music	external	49
United_States	English_language	other	46
Music	Religion	link	57
Wikipedia	Biology	link	60
Physics	Main_Page	external	42
Wikipedia	Main_Page	external	40
History	Biology	link	59
Chemistry	Chemistry	external	47
Main_Page	Wikipedia	link	45
other-external	United_States	external	54
English_language	Geography	link	47
other-internal	Main_Page	external	44
Main_Page	Wikipedia	external	50
Technology	Philosophy	other	54
Wikipedia	Biology	other	42
World_War_II	United_States	link	41
Wikipedia	Wikipedia	link	39
Mathematics	Sports	link	50
Geography	Mathematics	link	48
History	Music	external	52
Physics	Literature	external	52
Biology	Art	link	48
other-search	Chemistry	link	52
other-empty	Wikipedia	external	47
Literature	Wikipedia	link	44
History	World_War_II	external	46
Philosophy	Art	link	48
World_War_II	Literature	other	46
other-external	Philosophy	other	50
Wikipedia	Main_Page	other	42
Art	United_States	link	42
Chemistry	English_language	link	51
Philosophy	Main_Page	link	47
other-internal	History	external	59
Earth	Music	external	57
other-empty	Physics	link	44
Technology	Art	link	63
Geography	History	external	54
Philosophy	Wikipedia	link	53
other-search	Biology	other	49
other-external	Philosophy	link	60
Literature	Sports	other	47
Chemistry	Earth	link	50
Physics	Art	external	54
Art	Technology	external	38
other-empty	Wikipedia	link	37
Chemistry	Wikipedia	other	39
Music	Sports	other	50
Geography	Science	link	40
Geography	Technology	external	59
Chemistry	Literature	other	63
Philosophy	Music	external	41
Biology	Literature	external	54
English_language	Sports	link	59
Art	Wikipedia	link	51
Philosophy	Music	other	55
Geography	History	link	49
other-empty	Religion	link	47
Art	History	other	58
Main_Page	Physics	link	40
Literature	Chemistry	external	41
Biology	Physics	link	50
Earth	Wikipedia	other	50
Biology	Mathematics	link	39
Biology	Physics	other	59
other-search	Technology	other	53
Technology	History	other	60
Geography	Sports	link	51
Wikipedia	Earth	other	60
Art	United_States	external	60
other-external	Mathematics	link	54
Earth	Physics	other	58
English_language	Main_Page	other	58
Literature	Physics	other	44
other-internal	Sports	other	52
Science	Literature	other	41
English_language	Art	link	51
World_War_II	Chemistry	other	53
Religion	Biology	external	71
Main_Page	Mathematics	external	45
Geography	Main_Page	other	58
Physics	Science	other	45
History	United_States	external	65
Physics	Science	other	58
Wikipedia	Technology	other	58
World_War_II	Art	link	42
Earth	Sports	link	37
Literature	Philosophy	other	40
English_language	Wikipedia	external	49
other-internal	Music	link	50
Biology	Wikipedia	other	42
Religion	Physics	link	37
Technology	Chemistry	link	57
English_language	Mathematics	link	46
other-external	Wikipedia	other	50
other-search	World_War_II	external	40
Science	Science	external	49
History	Philosophy	external	56
United_States	Religion	link	54
Wikipedia	Literature	external	52
Philosophy	Science	link	49
other-empty	Biology	external	46
English_language	United_States	external	45
Technology	Physics	other	57
Technology	United_States	link	52
Religion	Literature	other	49
English_language	Main_Page	link	53
Philosophy	Music	link	44
Technology	Science	link	52
Science	Mathematics	link	47
History	United_States	link	52
Sports	Physics	other	54
Sports	Wikipedia	other	60
Science	Literature	external	57
Main_Page	Mathematics	external	63
Technology	Science	link	44
History	Chemistry	external	47
Chemistry	Geography	link	46
other-external	Science	link	43
Philosophy	Main_Page	external	51
Science	Technology	other	41
Science	Earth	link	35
Main_Page	History	external	43
Technology	United_States	other	59
other-search	Biology	external	49
Music	Biology	link	53
English_language	English_language	link	44
Religion	Religion	external	39
Geography	Technology	other	59
other-internal	Wikipedia	link	55
Religion	World_War_II	external	49
English_language	Religion	external	49
Technology	History	external	46
Wikipedia	Literature	link	61
other-internal	Technology	other	57
Sports	World_War_II	external	62
United_States	Art	other	57
Philosophy	Main_Page	link	46
United_States	Sports	link	55
other-search	Technology	link	61
Literature	World_War_II	other	41
Mathematics	Technology	link	44
Music	Art	link	48
Technology	Geography	link	46
Religion	World_War_II	external	51
Physics	Physics	external	58
History	Mathematics	external	49
other-search	Chemistry	link	49
other-external	Sports	external	37
Physics	Wikipedia	link	51
other-external	English_language	link	55
Philosophy	Main_Page	other	48
United_States	Art	other	53
Technology	Religion	external	49
History	Sports	link	48
Art	United_States	external	66
Chemistry	World_War_II	link	67
History	World_War_II	other	46
Literature	United_States	other	49
Music	Art	other	53
English_language	Physics	external	55
Mathematics	Technology	external	50
Geography	Wikipedia	other	59
Main_Page	World_War_II	link	53
Music	Technology	link	52
Technology	Biology	link	57
World_War_II	United_States	link	46
Art	Religion	other	56
Science	Music	link	54
Sports	Physics	link	61
Biology	Biology	external	63
Music	Biology	other	43
Physics	Sports	other	45
Mathematics	Religion	link	53
Technology	Religion	other	33
English_language	Wikipedia	external	52
Sports	Music	external	57
Wikipedia	History	external	44
Biology	Literature	link	63
other-external	Main_Page	link	40
Religion	Religion	link	49
Technology	Literature	other	54
Literature	English_language	other	60
Philosophy	Physics	other	47
Physics	Chemistry	link	48
Geography	History	other	44
Chemistry	Art	other	56
World_War_II	Science	other	43
United_States	Religion	external	50
Art	World_War_II	external	52
Main_Page	Wikipedia	external	69
Sports	United_States	external	43
World_War_II	Main_Page	link	48
Biology	Art	external	34
Chemistry	Religion	link	49
Biology	Geography	other	49
Sports	Earth	link	56
Earth	Mathematics	external	43
Technology	Science	external	49
Art	English_language	external	49
History	Earth	other	49
Mathematics	Geography	link	42
Music	Chemistry	link	53
other-external	Geography	external	63
Philosophy	Earth	other	49
Chemistry	Science	external	44
other-internal	History	other	53
English_language	Biology	link	46
Music	History	other	54
Religion	Literature	link	64
Mathematics	Chemistry	external	42
Music	Wikipedia	link	50
English_language	Physics	external	54
Chemistry	Physics	link	52
Chemistry	Wikipedia	other	50
Chemistry	Biology	link	45
English_language	Philosophy	other	59
other-search	Philosophy	link	47
other-empty	Chemistry	link	44
Main_Page	Geography	link	47
Biology	Science	other	55
Music	United_States	external	53
World_War_II	English_language	external	52
Philosophy	World_War_II	other	57
Art	United_States	link	47
Biology	Sports	external	47
Literature	Wikipedia	other	48
Geography	Music	other	56
other-empty	Earth	link	49
Literature	Literature	other	58
Science	Chemistry	external	47
Music	Physics	other	58
Philosophy	Philosophy	other	60
other-empty	Art	other	59
Geography	Physics	other	40
Science	Art	link	57
other-internal	Biology	link	42
English_language	Philosophy	link	50
Main_Page	Art	other	57
other-internal	Geography	external	53
Physics	Art	other	47
Science	United_States	external	53
Geography	Mathematics	external	48
Mathematics	English_language	external	41
Main_Page	Chemistry	other	49
other-search	Sports	other	71
Wikipedia	Technology	other	56
other-external	Physics	link	45
Earth	Art	external	51
Music	Main_Page	external	62
Geography	Chemistry	link	50
Geography	Art	external	46
History	Science	other	59
World_War_II	Science	link	50
Religion	English_language	external	66
Art	Chemistry	other	60
English_language	Earth	external	57
Philosophy	Geography	link	55
World_War_II	Art	link	41
United_States	Main_Page	external	65
Wikipedia	Religion	other	54
English_language	Art	other	53
Religion	Mathematics	other	48
Wikipedia	Technology	external	59
Geography	Wikipedia	link	56
World_War_II	Chemistry	other	55
Main_Page	Main_Page	external	57
Wikipedia	Physics	other	48
Philosophy	Main_Page	external	53
Literature	Main_Page	external	53
Science	Mathematics	other	47
Technology	Philosophy	external	54
Philosophy	Geography	external	61
other-search	Sports	link	54
Philosophy	United_States	external	55
Science	Sports	link	49
other-internal	Mathematics	external	52
Chemistry	Philosophy	link	44
Art	Geography	link	50
English_language	Biology	other	54
Sports	Geography	other	56
Main_Page	Literature	external	43
Wikipedia	Technology	other	52
Mathematics	Mathematics	external	53
United_States	World_War_II	external	53
other-empty	Main_Page	link	44
United_States	Music	link	40
other-search	Science	link	39
Chemistry	United_States	other	44
Religion	Sports	link	47
Music	English_language	external	53
other-external	Main_Page	link	46
Chemistry	World_War_II	link	35
Wikipedia	Earth	other	49
Chemistry	English_language	other	47
Philosophy	Main_Page	link	48
Literature	English_language	link	46
other-empty	World_War_II	other	49
History	Religion	other	50
United_States	English_language	external	56
Physics	Music	other	40
other-search	United_States	link	40
other-external	History	link	49
History	Main_Page	link	49
Main_Page	Mathematics	external	44
Wikipedia	Science	link	52
Literature	Sports	link	48
Technology	Music	other	67
other-search	United_States	link	47
Mathematics	Art	external	52
English_language	United_States	other	56
other-search	Sports	other	45
Earth	Sports	external	53
Philosophy	Geography	external	52
other-internal	Technology	other	44
Physics	History	other	53
History	United_States	external	45
other-empty	Technology	other	60
Music	Earth	other	46
Biology	Chemistry	link	39
Art	United_States	external	58
other-empty	Wikipedia	other	38
Main_Page	Art	external	43
other-search	English_language	link	54
Biology	Music	other	42
Philosophy	Sports	link	53
other-empty	Chemistry	other	37
Physics	United_States	other	50
Earth	Wikipedia	link	59
Religion	English_language	link	50
Geography	Wikipedia	external	44
Biology	Earth	other	44
United_States	Technology	link	56
Science	Chemistry	external	40
Literature	Earth	other	44
United_States	Earth	external	37
Technology	Art	other	45
Literature	Main_Page	external	49
Earth	Philosophy	other	50
Biology	Main_Page	external	44
Technology	Music	other	48
World_War_II	Mathematics	other	52
Chemistry	Geography	link	56
Geography	Geography	external	44
Technology	Music	link	51
Biology	Religion	link	46
other-empty	United_States	other	51
other-search	English_language	other	47
other-internal	Main_Page	other	34
English_language	Literature	link	47
Science	Main_Page	link	46
Earth	Music	other	44
Art	Music	other	42
Mathematics	Technology	other	50
other-internal	Earth	external	47
Biology	Earth	external	51
Earth	Literature	link	52
World_War_II	Earth	link	47
Science	World_War_II	link	46
Wikipedia	United_States	other	47
Chemistry	History	other	47
Religion	Technology	link	56
United_States	Wikipedia	external	57
Geography	Biology	other	44
other-empty	Science	external	66
other-internal	Geography	link	55
United_States	Mathematics	other	41
Technology	Art	link	63
World_War_II	Music	other	51
Mathematics	World_War_II	external	53
English_language	History	link	39
Wikipedia	Chemistry	external	45
Chemistry	Art	external	50
English_language	Wikipedia	external	57
Music	Philosophy	other	53
other-search	English_language	external	50
World_War_II	Chemistry	link	60
Chemistry	Physics	external	48
Art	World_War_II	link	48
United_States	Wikipedia	other	55
Main_Page	World_War_II	link	48
Art	Physics	other	41
Religion	Music	other	59
other-external	Literature	link	50
Earth	World_War_II	external	56
Philosophy	English_language	external	40
Geography	Sports	other	56
World_War_II	Physics	link	52
Main_Page	Wikipedia	link	41
other-empty	Philosophy	other	53
English_language	Literature	external	46
other-internal	English_language	other	44
English_language	Science	external	59
Geography	Geography	link	58
Geography	Art	external	47
Wikipedia	United_States	link	54
Mathematics	Main_Page	link	47
Philosophy	Technology	link	58
History	Music	link	46
Chemistry	Wikipedia	other	52
History	Geography	other	47
Technology	Wikipedia	other	53
World_War_II	Wikipedia	other	37
Earth	Chemistry	external	47
Music	Main_Page	external	39
Mathematics	Biology	link	51
Chemistry	Physics	link	42
Technology	Main_Page	external	44
other-internal	Biology	external	54
United_States	Sports	external	46
Main_Page	Earth	external	60
other-internal	World_War_II	link	43
Philosophy	Main_Page	link	51
other-external	Main_Page	link	67
Philosophy	Science	other	36
Art	Mathematics	link	47
Main_Page	Science	link	54
Sports	Chemistry	other	40
Chemistry	English_language	link	42
Technology	Technology	external	59
other-search	Sports	external	48
Wikipedia	Main_Page	external	46
World_War_II	Mathematics	other	40
Religion	Art	link	61
Biology	Religion	external	57
other-empty	Science	other	63
other-empty	Mathematics	external	47
other-empty	Religion	other	52
Religion	World_War_II	other	58
Music	Wikipedia	external	45
other-internal	Physics	other	45
History	Technology	other	52
Art	Philosophy	external	55
other-external	Physics	external	56
Mathematics	Music	other	61
other-internal	Earth	link	57
Physics	Art	link	60
Wikipedia	Physics	external	49
Art	Wikipedia	other	51
other-empty	Sports	link	46
Physics	Sports	other	47
World_War_II	Science	link	57
Biology	History	other	59
other-search	Music	external	53
Biology	History	other	38
Wikipedia	Chemistry	other	38
other-internal	Science	other	48
other-external	United_States	link	55
Technology	United_States	link	61
Mathematics	Literature	other	50
Chemistry	Wikipedia	link	47
Music	Art	external	47
Main_Page	Biology	other	49
History	Geography	link	59
Wikipedia	Chemistry	other	48
Earth	Philosophy	link	45
other-internal	Wikipedia	other	58
other-external	World_War_II	link	53
Science	Main_Page	link	52
English_language	English_language	link	46
other-external	History	external	64
other-search	Philosophy	other	37
other-search	Wikipedia	other	44
other-external	Philosophy	other	56
other-external	Main_Page	link	54
Geography	Sports	external	47
Wikipedia	Science	other	57
Technology	Earth	external	58
Main_Page	English_language	external	52
Biology	Literature	external	36
other-empty	Geography	external	48
Sports	History	link	48
Mathematics	United_States	other	49
History	Science	external	53
Biology	English_language	external	54
United_States	Science	external	61
World_War_II	United_States	external	35
Sports	Religion	other	44
Physics	Philosophy	external	59
Technology	Sports	external	41
other-search	Art	other	49
Geography	World_War_II	external	55
English_language	Wikipedia	other	42
Wikipedia	Technology	external	41
other-external	Literature	link	45
Art	Philosophy	link	52
Literature	Earth	other	52
Sports	Technology	other	45
other-internal	Biology	external	44
Main_Page	Art	external	62
other-external	Art	link	54
other-external	Religion	link	64
Geography	United_States	external	46
Music	Wikipedia	other	45
other-empty	United_States	external	53
Biology	Technology	other	49
other-search	World_War_II	other	52
United_States	Technology	external	46
other-search	Main_Page	other	54
English_language	Mathematics	external	57
Chemistry	History	link	55
Science	Philosophy	external	53
Religion	Biology	other	49
Main_Page	Literature	other	49
Technology	Geography	link	38
Biology	Earth	other	48
Earth	Physics	link	44
Earth	Sports	link	46
Religion	Sports	external	46
Music	Sports	other	52
United_States	Technology	external	41
Art	English_language	other	44
Chemistry	Wikipedia	other	50
World_War_II	Wikipedia	external	45
Main_Page	Art	link	57
other-search	Earth	external	62
Wikipedia	Physics	other	39
Technology	World_War_II	external	48
History	Physics	other	51
Physics	Earth	external	53
Main_Page	Main_Page	link	47
Chemistry	Main_Page	other	45
History	Wikipedia	link	54
Music	United_States	other	42
English_language	Music	link	50
History	Earth	external	51
other-external	Philosophy	other	59
Art	Sports	external	49
Philosophy	Literature	other	50
Religion	Sports	external	51
Philosophy	World_War_II	other	55
Literature	Wikipedia	external	48
Physics	Sports	link	45
Religion	Technology	link	53
Literature	Music	other	49
United_States	English_language	external	54
Geography	Wikipedia	external	53
other-search	Wikipedia	other	52
other-search	Technology	other	46
Sports	Philosophy	external	58
World_War_II	World_War_II	other	35
other-external	Geography	other	32
Wikipedia	Technology	other	41
Science	Science	link	51
Geography	History	link	60
Geography	Physics	other	59
other-empty	Music	external	60
Sports	Biology	link	55
other-empty	Sports	other	58
other-empty	Music	external	54
Wikipedia	Mathematics	link	38
other-internal	History	external	45
Religion	Wikipedia	other	49
other-external	Philosophy	other	51
other-internal	Earth	link	41
Chemistry	History	external	55
Earth	History	external	59
Mathematics	Chemistry	other	48
other-internal	Physics	other	52
Science	Earth	link	56
other-empty	Technology	link	47
other-empty	Philosophy	other	50
Literature	Earth	link	55
other-search	Physics	link	49
Science	Earth	external	52
Sports	Chemistry	external	56
Philosophy	Music	other	51
other-search	Main_Page	external	53
Earth	United_States	link	49
United_States	Literature	other	45
Main_Page	Chemistry	external	53
Physics	Wikipedia	other	51
World_War_II	United_States	other	45
other-external	Literature	other	42
Art	Wikipedia	link	45
Art	History	link	63
Wikipedia	Technology	other	50
other-empty	Wikipedia	link	53
Chemistry	Art	other	51
Mathematics	Sports	link	37
Philosophy	Religion	other	58
Biology	Technology	external	57
Technology	Music	link	62
United_States	Wikipedia	link	43
other-internal	Art	external	44
History	Wikipedia	external	49
History	Art	external	48
World_War_II	Art	external	38
other-search	Literature	other	47
other-internal	History	external	45
Art	Earth	other	38
Sports	Physics	link	52
United_States	Physics	external	42
Earth	History	external	55
Religion	Music	other	51
Religion	Main_Page	external	48
other-search	Philosophy	other	42
Biology	Sports	other	46
other-empty	World_War_II	other	48
Chemistry	Religion	other	46
other-internal	World_War_II	link	47
English_language	Science	other	40
English_language	Technology	link	53
Physics	Philosophy	link	43
Music	Main_Page	external	57
Sports	World_War_II	link	51
other-search	Technology	external	50
Biology	Music	other	53
Biology	Art	external	59
Wikipedia	Biology	other	51
Science	Mathematics	link	43
Philosophy	Philosophy	other	75
English_language	Mathematics	external	54
Earth	English_language	other	48
United_States	Main_Page	link	45
Main_Page	Art	external	45
other-external	Main_Page	external	44
Art	English_language	other	52
other-internal	Science	link	40
English_language	Geography	external	45
English_language	Religion	external	60
World_War_II	Main_Page	other	58
Art	Physics	other	52
other-internal	Art	external	56
Philosophy	Biology	link	44
Science	Geography	link	49
Technology	Geography	link	41
Music	Religion	link	56
Literature	United_States	external	60
Chemistry	Philosophy	other	45
Chemistry	Mathematics	external	52
Main_Page	Earth	external	45
English_language	Art	link	48
Biology	Geography	external	49
Physics	Mathematics	link	43
other-internal	Chemistry	other	47
Religion	Earth	link	41
other-internal	Technology	external	51
Mathematics	Mathematics	link	39
Geography	History	external	44
World_War_II	Technology	other	52
Technology	Technology	link	55
Sports	Chemistry	link	49
United_States	World_War_II	external	53
Religion	Philosophy	link	62
other-empty	Literature	external	50
World_War_II	Wikipedia	other	43
Mathematics	Sports	link	40
Mathematics	Religion	other	46
Science	Science	link	42
Science	Technology	external	52
other-internal	Science	link	50
Mathematics	Literature	external	49
other-external	Chemistry	other	51
Music	Mathematics	other	49
Art	Sports	other	42
Biology	Music	link	52
Geography	English_language	link	64
Science	English_language	link	44
Science	Art	external	39
Chemistry	English_language	link	54
History	World_War_II	link	58
Wikipedia	Wikipedia	other	50
Philosophy	Chemistry	link	50
Main_Page	Physics	external	42
Science	Music	external	59
History	Science	other	44
Geography	Wikipedia	other	50
Music	Music	other	37
other-empty	Technology	other	48
other-search	Technology	link	51
Geography	Science	link	45
Physics	World_War_II	other	53
other-empty	History	link	63
Philosophy	English_language	link	48
Religion	Music	other	49
World_War_II	Chemistry	other	49
Science	English_language	other	45
Chemistry	Wikipedia	external	48
Earth	English_language	external	43
Philosophy	Biology	external	38
Literature	Literature	link	50
other-search	Philosophy	external	39
Art	Art	link	58
other-empty	Art	external	52
Physics	Science	external	50
Art	Main_Page	link	58
Geography	Art	link	51
Music	Technology	external	67
other-search	Religion	link	40
other-external	Literature	other	38
World_War_II	Literature	external	45
Philosophy	Music	external	50
Literature	Literature	other	46
other-external	Technology	link	58
other-empty	Sports	link	57
World_War_II	Wikipedia	external	50
Technology	Science	external	57
Music	History	link	48
Technology	United_States	other	42
Biology	United_States	external	43
Mathematics	World_War_II	external	61
Main_Page	Main_Page	other	45
Wikipedia	History	external	40
Chemistry	Physics	other	56
Earth	Science	link	45
Science	United_States	external	45
other-empty	Art	other	54
other-empty	Biology	link	51
Philosophy	Literature	link	42
Wikipedia	Earth	other	68
Science	Science	external	53
English_language	Biology	link	41
Chemistry	Philosophy	link	51
other-internal	Philosophy	other	37
other-empty	Earth	link	55
Main_Page	Earth	external	41
Science	Chemistry	link	46
Sports	Art	external	43
Mathematics	Religion	link	59
Sports	Earth	link	51
English_language	Sports	other	45
Science	World_War_II	external	44
Biology	Chemistry	link	49
Wikipedia	Biology	external	48
Art	World_War_II	external	46
Art	Earth	link	43
Earth	Religion	other	61
Wikipedia	Geography	other	51
United_States	Science	other	60
Art	Geography	link	42
World_War_II	Sports	other	53
Mathematics	Wikipedia	link	51
other-external	English_language	link	58
other-search	Philosophy	external	50
other-empty	Science	link	54
other-search	English_language	external	61
Philosophy	Science	link	57
Art	Art	other	59
English_language	United_States	link	58
other-search	Main_Page	other	50
Art	World_War_II	external	60
English_language	Literature	external	52
Sports	Music	external	56
other-internal	Physics	link	56
Art	Main_Page	external	47
other-external	Philosophy	other	41
Geography	Literature	external	63
World_War_II	Science	other	57
History	Literature	external	46
Music	Physics	external	54
Literature	Biology	other	42
Mathematics	Geography	other	50
Science	Mathematics	other	45
Physics	Music	external	53
Mathematics	Chemistry	other	47
World_War_II	Philosophy	other	47
Main_Page	Technology	link	50
Earth	Chemistry	link	44
Biology	Religion	other	48
Mathematics	Wikipedia	other	51
Wikipedia	United_States	other	49
Literature	Technology	external	48
other-internal	English_language	external	54
Music	Religion	link	52
Biology	Philosophy	external	49
Chemistry	History	link	51
Art	History	link	46
other-internal	Main_Page	link	50
United_States	United_States	other	50
Philosophy	Technology	link	51
United_States	Sports	other	51
History	World_War_II	external	35
English_language	Geography	external	50
other-internal	World_War_II	other	55
Main_Page	Chemistry	other	48
Technology	Technology	external	59
Physics	Philosophy	link	59
Technology	English_language	other	43
Physics	Science	external	61
Music	Wikipedia	link	53
Sports	Chemistry	external	55
English_language	Earth	link	46
other-external	Main_Page	link	52
Earth	Chemistry	link	49
Geography	Music	other	51
World_War_II	Science	other	43
Science	Religion	external	56
Technology	Literature	link	55
Geography	United_States	external	52
Biology	Philosophy	other	58
Art	Science	other	42
Science	Geography	other	52
Philosophy	Geography	other	59
Technology	World_War_II	other	47
Philosophy	Literature	external	54
Sports	Chemistry	other	44
Literature	Technology	external	44
Main_Page	English_language	external	55
Physics	Main_Page	external	36
Literature	Philosophy	link	57
Sports	History	other	48
Philosophy	Mathematics	link	36
History	Literature	external	40
World_War_II	Religion	link	51
other-external	English_language	link	52
Sports	Earth	other	31
Sports	Physics	link	43
other-internal	English_language	link	45
Wikipedia	Literature	link	43
Main_Page	Religion	other	44
Mathematics	Science	link	50
Music	United_States	external	52
Mathematics	United_States	other	43
World_War_II	World_War_II	link	47
Literature	World_War_II	other	59
other-search	Biology	link	42
other-empty	Art	other	60
United_States	English_language	link	38
English_language	Art	link	36
Biology	United_States	other	57
Sports	Geography	link	48
Physics	Geography	link	52
other-internal	Science	link	60
other-search	English_language	other	41
Chemistry	Art	external	57
Technology	Biology	external	57
History	Literature	link	45
other-internal	World_War_II	external	44
Mathematics	Mathematics	external	44
World_War_II	Geography	link	60
Religion	Science	other	55
other-external	Earth	other	39
Music	Mathematics	link	61
Religion	Chemistry	link	48
English_language	World_War_II	external	55
Geography	History	link	42
Literature	Science	external	54
Geography	Literature	link	54
Physics	Religion	other	54
History	Biology	other	44
other-search	Earth	link	57
Sports	Music	external	46
Biology	Art	other	50
Art	Chemistry	link	52
Wikipedia	Technology	other	48
Art	Biology	other	52
Philosophy	Wikipedia	other	54
Wikipedia	Sports	link	57
Sports	Earth	external	57
other-search	Earth	external	46
Earth	Art	external	53
other-empty	Earth	external	51
Geography	Geography	link	45
Religion	English_language	link	38
Sports	World_War_II	other	52
Physics	Biology	other	53
Philosophy	Chemistry	external	45
Music	United_States	other	53
History	Music	external	51
World_War_II	United_States	other	51
English_language	Geography	other	59
Art	World_War_II	link	56
other-external	Science	other	60
Earth	Religion	link	52
World_War_II	Science	link	53
United_States	Religion	other	67
United_States	Sports	link	51
Biology	Science	link	47
Sports	Technology	link	61
Geography	Chemistry	link	40
Technology	Main_Page	link	46
United_States	Physics	link	56
Technology	World_War_II	external	47
Mathematics	Science	other	41
Art	English_language	other	43
Physics	Religion	other	48
Technology	Religion	other	45
English_language	Science	link	61
Mathematics	Biology	external	53
other-external	United_States	other	48
Earth	Mathematics	external	47
English_language	United_States	link	55
Wikipedia	Sports	external	52
Religion	Wikipedia	external	58
World_War_II	Mathematics	external	50
Philosophy	Geography	external	45
Wikipedia	Biology	external	51
other-external	English_language	link	54
Mathematics	Sports	other	54
History	Religion	other	52
Physics	Geography	link	52
other-empty	Literature	external	36
United_States	Main_Page	other	49
Philosophy	Technology	link	53
Religion	Music	external	51
other-empty	Earth	external	53
Geography	Sports	external	58
Art	United_States	external	48
other-external	Philosophy	external	47
English_language	Technology	external	61
Sports	United_States	link	42
Philosophy	Sports	other	44
Sports	Science	other	65
Physics	Literature	link	34
Geography	Wikipedia	external	34
United_States	Wikipedia	link	66
other-empty	Religion	external	41
other-empty	Earth	link	43
Main_Page	Sports	external	45
Chemistry	Philosophy	external	56
English_language	Science	external	46
Geography	United_States	external	49
Technology	Mathematics	external	37
Art	History	link	44
Geography	World_War_II	other	55
Art	Wikipedia	link	49
Literature	Music	external	35
other-search	Science	external	42
Mathematics	History	other	57
United_States	World_War_II	external	52
Geography	Technology	link	57
United_States	Art	other	47
Wikipedia	Literature	external	55
Philosophy	Music	other	54
Technology	Philosophy	other	54
Literature	Philosophy	other	51
Science	Sports	link	57
Religion	English_language	external	50
Biology	Chemistry	external	53
United_States	Literature	external	48
Mathematics	Sports	link	45
other-external	Religion	external	48
other-search	World_War_II	external	45
Earth	Physics	link	48
other-empty	Physics	other	48
other-external	Music	external	58
Sports	Art	link	45
Religion	Chemistry	external	43
Earth	Art	other	54
other-search	Chemistry	link	47
Philosophy	Sports	link	51
English_language	Biology	link	44
Music	Sports	link	58
English_language	English_language	other	57
Physics	Philosophy	link	44
Technology	Wikipedia	other	48
Earth	Literature	external	37
Wikipedia	Geography	link	49
other-empty	Geography	other	57
Wikipedia	Main_Page	link	57
World_War_II	English_language	link	53
Art	Sports	other	49
other-external	Religion	link	44
Physics	Mathematics	link	59
Main_Page	Science	other	50
Earth	Geography	external	42
Geography	Music	link	53
Earth	Geography	external	39
Biology	Physics	other	38
Biology	Literature	external	53
other-empty	Technology	external	59
Physics	Wikipedia	other	50
Biology	Technology	link	43
other-search	Art	link	57
other-internal	Biology	other	55
Art	English_language	other	44
Technology	Earth	external	47
other-search	Physics	external	41
Technology	Religion	external	63
World_War_II	Main_Page	external	51
other-internal	Biology	external	52
Music	United_States	external	55
Technology	Chemistry	external	48
Main_Page	English_language	external	42
Chemistry	Wikipedia	link	41
World_War_II	Physics	external	61
Sports	Art	external	58
Geography	Music	external	57
other-empty	Sports	other	63
Science	World_War_II	link	47
Wikipedia	History	other	59
other-empty	Religion	link	49
Wikipedia	Mathematics	link	55
Art	Wikipedia	external	53
Philosophy	Mathematics	external	43
Main_Page	Religion	other	48
Art	Science	external	47
Physics	Chemistry	external	52
Religion	English_language	other	50
Biology	History	other	41
Philosophy	Science	external	52
Mathematics	Biology	external	45
Philosophy	Religion	other	46
Physics	Earth	other	55
Physics	Music	other	35
Main_Page	Religion	link	54
Earth	Chemistry	external	41
Technology	Philosophy	other	45
other-external	Physics	other	53
Philosophy	English_language	external	41
other-external	Science	link	47
other-external	Biology	external	63
other-empty	Technology	link	58
Music	Philosophy	other	59
United_States	Physics	other	51
Art	Science	link	68
